CUSTOMER_SK,TOTAL_No_Of_PURCHASE,TOTAL_REVENUE,RECENCY,TOTAL_No_of_VISITS,DISTINCT_PRODUCTS,AVERAGE_SPEND,CITY_NM
1,1626564,4804677.631,109,369037,28468,13.01950111,UNKNOWN
37143973,2006,6194.90862,242,68,545,91.10159735,HALIFAX
60434066,1846,6068.58859,109,79,555,76.81757709,HALIFAX
64947261,1685,5760.74962,109,205,289,28.10121766,HALIFAX
64593270,1560,5619.1092,111,138,766,40.71818261,HALIFAX
28313518,1316,5123.06845,244,29,401,176.6575328,HALIFAX
61056436,1416,5045.31831,109,25,408,201.8127324,HALIFAX
59564026,1236,4734.23892,109,37,527,127.9524032,HALIFAX
59427755,1209,4640.33894,109,23,320,201.753867,HALIFAX
40180526,1487,4587.13994,112,80,439,57.33924925,HALIFAX
61044591,1223,4347.7692,110,51,449,85.25037647,HALIFAX
28210412,1180,4328.36926,244,34,448,127.3049782,HALIFAX
21159049,1074,4262.59923,243,51,570,83.58037706,HALIFAX
59564457,1081,4243.6889,109,104,348,40.80470096,HALIFAX
22283241,996,4157.08901,244,31,482,134.0996455,HALIFAX
59428177,1057,4140.61963,109,44,567,94.10499159,HALIFAX
52236223,1157,4135.97949,243,140,578,29.54271064,
21155117,1154,4128.70953,242,53,402,77.90017981,HALIFAX
21703010,1113,4063.00906,242,50,457,81.2601812,HALIFAX
59427796,1207,3982.31922,115,44,408,90.507255,HALIFAX
37161495,1060,3978.33921,243,30,434,132.611307,HALIFAX
22114258,1210,3963.84938,242,27,372,146.8092363,HALIFAX
58907751,1060,3952.59934,110,117,432,33.78290034,HALIFAX
21472963,1060,3943.09947,242,103,467,38.28251913,HALIFAX
61765847,1154,3934.33918,112,41,445,95.9594922,HALIFAX
59089143,1025,3931.16918,110,56,395,70.19944964,HALIFAX
61154597,947,3884.45929,109,53,350,73.29168472,HALIFAX
59578232,1063,3858.0692,109,88,116,43.84169545,HALIFAX
59490408,1095,3847.97941,109,171,513,22.50280357,DARTMOUTH
37350043,1165,3791.11952,242,49,410,77.36978612,HALIFAX
21476267,996,3770.4396,246,24,454,157.10165,HALIFAX
59076986,846,3762.40918,110,51,357,73.77272902,BEDFORD
22286370,1017,3736.01901,244,33,319,113.2126973,HALIFAX
58642266,1038,3697.38954,111,52,357,71.103645,HALIFAX
21352906,1095,3674.69917,242,64,405,57.41717453,HALIFAX
60540209,944,3668.36946,113,34,513,107.8932194,HALIFAX
22114197,985,3628.34884,244,20,244,181.417442,HALIFAX
20848665,842,3614.82917,244,28,442,129.1010418,HALIFAX
59564034,903,3612.24952,109,50,385,72.2449904,HALIFAX
22283800,928,3580.07921,242,104,270,34.42383856,HALIFAX
21703021,1200,3579.65984,243,101,429,35.44217663,HALIFAX
34343937,941,3578.17923,243,35,406,102.2336923,HALIFAX
58262625,981,3573.04955,110,36,508,99.25137639,HALIFAX
37153512,873,3560.94933,256,13,353,273.9191792,HALIFAX
58883863,940,3546.8893,112,42,329,84.44974524,HALIFAX
60899623,974,3535.82971,109,52,284,67.99672519,WATERLOO
21592137,1060,3514.8093,243,124,207,28.34523629,HALIFAX
60676826,873,3502.5595,113,29,387,120.7779138,HALIFAX
22283251,912,3502.00963,242,50,372,70.0401926,HALIFAX
36338607,974,3491.17958,242,139,437,25.11639986,DARTMOUTH
58392864,810,3485.77919,109,31,412,112.44449,HALIFAX
20739146,848,3480.26925,244,34,377,102.3608603,HALIFAX
21444732,890,3427.39945,242,40,311,85.68498625,HALIFAX
62301350,856,3405.62907,117,22,318,154.8013214,HALIFAX
61045226,853,3393.20952,109,22,427,154.2367964,HALIFAX
58452703,972,3383.81953,110,32,368,105.7443603,HALIFAX
59564442,877,3365.8795,109,57,296,59.05051754,HALIFAX
59793790,810,3365.59892,109,47,120,71.60848766,HALIFAX
20693643,976,3291.67957,245,39,530,84.40204026,HALIFAX
58240099,877,3287.16933,110,38,374,86.50445605,HALIFAX
20943825,910,3232.97987,244,49,259,65.97918102,HALIFAX
58338429,831,3232.75935,114,29,407,111.4744603,HALIFAX
59566489,830,3220.44926,109,27,282,119.2758985,HALIFAX
58870832,793,3212.98933,121,18,324,178.4994072,HALIFAX
25336169,735,3206.13924,243,22,295,145.7336018,HALIFAX
59913622,912,3205.26965,111,34,367,94.27263676,HALIFAX
22283257,812,3182.57934,257,45,355,70.72398533,HALIFAX
58983956,903,3178.72957,110,48,438,66.22353271,HALIFAX
59057988,880,3177.80953,121,31,443,102.5099848,HALIFAX
21688234,696,3165.03943,242,36,352,87.91776194,BEDFORD
23722085,915,3162.57947,243,26,336,121.6376719,HALIFAX
58239439,880,3162.10927,113,70,389,45.17298957,HALIFAX
59691053,864,3154.81944,109,87,449,36.26229241,HALIFAX
21123217,754,3132.05921,266,38,351,82.42261079,HALIFAX
58645662,774,3129.26949,109,40,438,78.23173725,HALIFAX
58613964,740,3121.46915,109,38,370,82.143925,HALIFAX
36769106,787,3119.38948,246,27,415,115.5329437,HALIFAX
39937223,822,3117.65943,248,21,256,148.4599729,HALIFAX
22206723,827,3107.53948,245,47,401,66.11786128,HALIFAX
38983543,866,3104.50965,243,105,467,29.56675857,HALIFAX
59039674,969,3101.1295,112,71,382,43.67788028,HALIFAX
21701323,773,3096.66899,242,39,306,79.40176897,HALIFAX
37107316,1148,3096.21954,243,63,325,49.1463419,HALIFAX
58645609,762,3087.04943,117,20,380,154.3524715,HALIFAX
59564039,786,3082.34933,110,47,333,65.58190064,HALIFAX
22301160,846,3078.68948,242,62,116,49.65628194,HALIFAX
54013758,871,3044.25981,243,77,229,39.53584169,HALIFAX
60664447,769,3037.92891,111,18,252,168.7738283,NEPEAN
21584436,921,3037.67976,109,290,253,10.47475779,HALIFAX
59504665,844,3021.13967,112,81,232,37.29802062,DARTMOUTH
37353924,851,3012.20962,248,37,402,81.41107081,HALIFAX
22286348,838,2999.48983,243,66,348,45.44681561,HALIFAX
41538512,1018,2990.94934,243,47,304,63.63722,HALIFAX
39317622,818,2985.4198,242,59,409,50.60033559,HALIFAX
36164600,803,2984.84953,242,32,281,93.27654781,HALIFAX
21561441,808,2977.52962,243,43,384,69.24487488,HALIFAX
22287906,645,2969.08912,246,37,302,80.24565189,HALIFAX
59502886,801,2967.23958,112,46,402,64.50520826,HALIFAX
58910480,769,2961.12929,109,40,365,74.02823225,HALIFAX
58299728,738,2951.37947,111,29,340,101.7717059,HALIFAX
59794466,782,2939.28965,109,108,448,27.21564491,HALIFAX
38988153,694,2921.99965,242,56,318,52.17856518,HALIFAX
60416645,1313,2920.79927,111,129,345,22.64185481,HALIFAX
59607596,933,2918.0196,110,25,301,116.720784,HALIFAX
60084673,770,2910.12971,111,40,327,72.75324275,HALIFAX
58657920,944,2908.04974,121,71,293,40.95844704,HALIFAX
59910413,677,2905.04927,121,56,243,51.87587982,BEDFORD
58266455,734,2873.95947,110,51,370,56.35214647,HALIFAX
59427733,1340,2846.25802,110,82,146,34.71046366,HALIFAX
39741082,899,2836.22993,119,35,474,81.03514086,HALIFAX
58831091,705,2826.33951,114,31,324,91.17224226,HALIFAX
22283777,742,2826.04942,244,38,273,74.36972158,HALIFAX
22448137,828,2825.67955,242,65,400,43.47199308,HALIFAX
58808222,859,2822.7295,109,59,335,47.84287288,HALIFAX
59566474,844,2812.77986,110,75,343,37.50373147,HALIFAX
59752418,899,2795.93989,109,94,369,29.74404138,HALIFAX
59920039,730,2791.36955,111,79,142,35.33379177,HALIFAX
21173320,794,2785.36975,243,56,279,49.73874554,HALIFAX
59577999,792,2775.90983,109,97,407,28.61762711,CHARLOTTET
59579364,1021,2763.80967,109,93,326,29.71838355,HALIFAX
23635344,686,2757.6697,242,36,303,76.60193611,HALIFAX
58283072,829,2734.32965,110,42,308,65.1030869,HALIFAX
22114167,1360,2726.8282,242,80,137,34.0853525,HALIFAX
21621964,657,2720.54928,244,56,242,48.58123714,HALIFAX
51835173,761,2719.77969,243,29,315,93.78550655,HALIFAX
62349068,716,2716.34969,112,26,418,104.4749881,HALIFAX
59564876,770,2715.68967,111,37,476,73.39701811,HALIFAX
59106914,657,2713.51942,110,21,413,129.2152105,HALIFAX
58872822,816,2708.40963,111,49,373,55.27366592,HALIFAX
21432192,695,2700.90946,243,33,310,81.84574121,HALIFAX
22302616,946,2695.19967,243,75,318,35.9359956,HALIFAX
59459473,714,2685.96985,109,19,158,141.3668342,HALIFAX
35109326,815,2682.2198,111,69,421,38.87275072,HALIFAX
39314414,710,2681.13978,242,18,152,148.95221,HALIFAX
22208972,774,2680.98984,245,75,266,35.7465312,DARTMOUTH
