"","CUSTOMER_SK","TOTAL_No_Of_PURCHASE","TOTAL_REVENUE","RECENCY","TOTAL_No_of_VISITS","DISTINCT_PRODUCTS","AVERAGE_SPEND","CITY_NM","pkm$cluster"
"2",37143973,2006,6194.90862,242,68,545,91.10159735,"HALIFAX",2
"3",60434066,1846,6068.58859,109,79,555,76.81757709,"HALIFAX",2
"4",64947261,1685,5760.74962,109,205,289,28.10121766,"HALIFAX",2
"5",64593270,1560,5619.1092,111,138,766,40.71818261,"HALIFAX",2
"6",28313518,1316,5123.06845,244,29,401,176.6575328,"HALIFAX",2
"7",61056436,1416,5045.31831,109,25,408,201.8127324,"HALIFAX",2
"8",59564026,1236,4734.23892,109,37,527,127.9524032,"HALIFAX",2
"9",59427755,1209,4640.33894,109,23,320,201.753867,"HALIFAX",2
"10",40180526,1487,4587.13994,112,80,439,57.33924925,"HALIFAX",2
"11",61044591,1223,4347.7692,110,51,449,85.25037647,"HALIFAX",2
"12",28210412,1180,4328.36926,244,34,448,127.3049782,"HALIFAX",2
"13",21159049,1074,4262.59923,243,51,570,83.58037706,"HALIFAX",2
"14",59564457,1081,4243.6889,109,104,348,40.80470096,"HALIFAX",2
"15",22283241,996,4157.08901,244,31,482,134.0996455,"HALIFAX",2
"16",59428177,1057,4140.61963,109,44,567,94.10499159,"HALIFAX",2
"17",52236223,1157,4135.97949,243,140,578,29.54271064,"",2
"18",21155117,1154,4128.70953,242,53,402,77.90017981,"HALIFAX",2
"19",21703010,1113,4063.00906,242,50,457,81.2601812,"HALIFAX",2
"20",59427796,1207,3982.31922,115,44,408,90.507255,"HALIFAX",2
"21",37161495,1060,3978.33921,243,30,434,132.611307,"HALIFAX",2
"22",22114258,1210,3963.84938,242,27,372,146.8092363,"HALIFAX",2
"23",58907751,1060,3952.59934,110,117,432,33.78290034,"HALIFAX",2
"24",21472963,1060,3943.09947,242,103,467,38.28251913,"HALIFAX",2
"25",61765847,1154,3934.33918,112,41,445,95.9594922,"HALIFAX",2
"26",59089143,1025,3931.16918,110,56,395,70.19944964,"HALIFAX",2
"27",61154597,947,3884.45929,109,53,350,73.29168472,"HALIFAX",2
"28",59578232,1063,3858.0692,109,88,116,43.84169545,"HALIFAX",2
"29",59490408,1095,3847.97941,109,171,513,22.50280357,"DARTMOUTH",2
"30",37350043,1165,3791.11952,242,49,410,77.36978612,"HALIFAX",2
"31",21476267,996,3770.4396,246,24,454,157.10165,"HALIFAX",2
"32",59076986,846,3762.40918,110,51,357,73.77272902,"BEDFORD",2
"33",22286370,1017,3736.01901,244,33,319,113.2126973,"HALIFAX",2
"34",58642266,1038,3697.38954,111,52,357,71.103645,"HALIFAX",2
"35",21352906,1095,3674.69917,242,64,405,57.41717453,"HALIFAX",2
"36",60540209,944,3668.36946,113,34,513,107.8932194,"HALIFAX",2
"37",22114197,985,3628.34884,244,20,244,181.417442,"HALIFAX",2
"38",20848665,842,3614.82917,244,28,442,129.1010418,"HALIFAX",2
"39",59564034,903,3612.24952,109,50,385,72.2449904,"HALIFAX",2
"40",22283800,928,3580.07921,242,104,270,34.42383856,"HALIFAX",2
"41",21703021,1200,3579.65984,243,101,429,35.44217663,"HALIFAX",2
"42",34343937,941,3578.17923,243,35,406,102.2336923,"HALIFAX",2
"43",58262625,981,3573.04955,110,36,508,99.25137639,"HALIFAX",2
"44",37153512,873,3560.94933,256,13,353,273.9191792,"HALIFAX",2
"45",58883863,940,3546.8893,112,42,329,84.44974524,"HALIFAX",2
"46",60899623,974,3535.82971,109,52,284,67.99672519,"WATERLOO",2
"47",21592137,1060,3514.8093,243,124,207,28.34523629,"HALIFAX",2
"48",60676826,873,3502.5595,113,29,387,120.7779138,"HALIFAX",2
"49",22283251,912,3502.00963,242,50,372,70.0401926,"HALIFAX",2
"50",36338607,974,3491.17958,242,139,437,25.11639986,"DARTMOUTH",2
"51",58392864,810,3485.77919,109,31,412,112.44449,"HALIFAX",2
"52",20739146,848,3480.26925,244,34,377,102.3608603,"HALIFAX",2
"53",21444732,890,3427.39945,242,40,311,85.68498625,"HALIFAX",2
"54",62301350,856,3405.62907,117,22,318,154.8013214,"HALIFAX",2
"55",61045226,853,3393.20952,109,22,427,154.2367964,"HALIFAX",2
"56",58452703,972,3383.81953,110,32,368,105.7443603,"HALIFAX",2
"57",59564442,877,3365.8795,109,57,296,59.05051754,"HALIFAX",2
"58",59793790,810,3365.59892,109,47,120,71.60848766,"HALIFAX",2
"59",20693643,976,3291.67957,245,39,530,84.40204026,"HALIFAX",2
"60",58240099,877,3287.16933,110,38,374,86.50445605,"HALIFAX",2
"61",20943825,910,3232.97987,244,49,259,65.97918102,"HALIFAX",2
"62",58338429,831,3232.75935,114,29,407,111.4744603,"HALIFAX",2
"63",59566489,830,3220.44926,109,27,282,119.2758985,"HALIFAX",2
"64",58870832,793,3212.98933,121,18,324,178.4994072,"HALIFAX",2
"65",25336169,735,3206.13924,243,22,295,145.7336018,"HALIFAX",2
"66",59913622,912,3205.26965,111,34,367,94.27263676,"HALIFAX",2
"67",22283257,812,3182.57934,257,45,355,70.72398533,"HALIFAX",2
"68",58983956,903,3178.72957,110,48,438,66.22353271,"HALIFAX",2
"69",59057988,880,3177.80953,121,31,443,102.5099848,"HALIFAX",2
"70",21688234,696,3165.03943,242,36,352,87.91776194,"BEDFORD",2
"71",23722085,915,3162.57947,243,26,336,121.6376719,"HALIFAX",2
"72",58239439,880,3162.10927,113,70,389,45.17298957,"HALIFAX",2
"73",59691053,864,3154.81944,109,87,449,36.26229241,"HALIFAX",2
"74",21123217,754,3132.05921,266,38,351,82.42261079,"HALIFAX",2
"75",58645662,774,3129.26949,109,40,438,78.23173725,"HALIFAX",2
"76",58613964,740,3121.46915,109,38,370,82.143925,"HALIFAX",2
"77",36769106,787,3119.38948,246,27,415,115.5329437,"HALIFAX",2
"78",39937223,822,3117.65943,248,21,256,148.4599729,"HALIFAX",2
"79",22206723,827,3107.53948,245,47,401,66.11786128,"HALIFAX",2
"80",38983543,866,3104.50965,243,105,467,29.56675857,"HALIFAX",2
"81",59039674,969,3101.1295,112,71,382,43.67788028,"HALIFAX",2
"82",21701323,773,3096.66899,242,39,306,79.40176897,"HALIFAX",2
"83",37107316,1148,3096.21954,243,63,325,49.1463419,"HALIFAX",2
"84",58645609,762,3087.04943,117,20,380,154.3524715,"HALIFAX",2
"85",59564039,786,3082.34933,110,47,333,65.58190064,"HALIFAX",2
"86",22301160,846,3078.68948,242,62,116,49.65628194,"HALIFAX",4
"87",54013758,871,3044.25981,243,77,229,39.53584169,"HALIFAX",2
"88",60664447,769,3037.92891,111,18,252,168.7738283,"NEPEAN",2
"89",21584436,921,3037.67976,109,290,253,10.47475779,"HALIFAX",6
"90",59504665,844,3021.13967,112,81,232,37.29802062,"DARTMOUTH",6
"91",37353924,851,3012.20962,248,37,402,81.41107081,"HALIFAX",2
"92",22286348,838,2999.48983,243,66,348,45.44681561,"HALIFAX",2
"93",41538512,1018,2990.94934,243,47,304,63.63722,"HALIFAX",2
"94",39317622,818,2985.4198,242,59,409,50.60033559,"HALIFAX",2
"95",36164600,803,2984.84953,242,32,281,93.27654781,"HALIFAX",2
"96",21561441,808,2977.52962,243,43,384,69.24487488,"HALIFAX",2
"97",22287906,645,2969.08912,246,37,302,80.24565189,"HALIFAX",2
"98",59502886,801,2967.23958,112,46,402,64.50520826,"HALIFAX",2
"99",58910480,769,2961.12929,109,40,365,74.02823225,"HALIFAX",2
