"","ITEM_SK","TOTAL_REVENUE","BASKETS","DISTINCT_CUSTOMERS","AVERAGE_PRICE","PRODUCT_NAME","PRODUCT_CAT","pkm$cluster"
"2",11740923,78940.47849,26762,7151,1.436358086,"Other Fruit","Produce",5
"3",11680016,72298.68816,11766,290,5.94154047,"Services - ","Services",5
"4",11610106,59209.60202,6200,2272,9.49039808,"HMR Chicken","Home Meal Re",5
"5",11686823,55806.38884,16244,5800,3.128515611,"Eggs","Dairy",5
"6",11741143,44282.30567,8602,3515,5.144975704,"Other Fruit","Produce",5
"7",11685694,43996.07196,4472,2505,8.248265779,"Chicken","Meat",5
"8",11740964,40649.78793,9287,3424,3.839183816,"Other Fruit","Produce",5
"9",12518517,39994.93839,4771,1252,7.038494584,"","",3
"10",11696675,39570.41129,4207,2320,8.976952515,"Beef","Meat",5
"11",11743201,38774.64965,17379,6173,1.954537731,"Salad Items","Produce",5
"12",11611881,37650.79929,15657,5537,2.399857765,"Tomatoes","Produce",5
"13",11741127,33671.72695,6419,2792,5.267037289,"Other Fruit","Produce",5
"14",11741816,32687.76968,9866,3842,3.008923468,"Cooking Veg","Produce",5
"15",11686839,31361.93919,8692,3493,3.225057653,"Eggs","Dairy",5
"16",14388093,30793.58502,3395,1501,8.494049817,"Chicken","Meat",3
"17",11741274,29152.35964,15394,5320,1.104522247,"Citrus","Produce",5
"18",11742966,28776.47994,13197,3711,2.026944452,"Other Fruit","Produce",5
"19",11745837,28387.55971,12293,4681,2.302220159,"Peppers&Hot","Produce",5
"20",13881134,26841.30229,3239,1543,7.920603004,"Fin-Fish Fr","Seafood",3
"21",11832850,26532.83014,2966,1280,8.306458181,"Fin-Fish Fr","Seafood",3
"22",11639874,25791.17197,2811,1495,8.871604242,"Beef","Meat",3
"23",11742736,24824.71947,11915,4525,2.075463005,"Tomatoes","Produce",5
"24",11742461,24803.06974,9891,3701,2.48536546,"Potatoes","Produce",5
"25",11600537,24395.59869,6030,2773,3.5927577,"Other Fruit","Produce",5
"26",11696680,24269.21699,4182,1954,5.205895796,"Beef","Meat",3
"27",11659747,23618.24947,7260,2368,2.608291097,"Bread Produ","Commercial B",5
"28",11740989,23356.92951,6594,2476,2.999658574,"Other Fruit","Produce",5
"29",11600129,22686.28956,7807,2788,2.892198273,"Citrus","Produce",5
"30",11675064,22611.79774,3893,1016,5.51849976,"Milk Produc","Dairy",3
"31",13797916,22274.70992,5545,2361,3.972203907,"Refrigerate","Produce",3
"32",11675055,21853.84803,3775,959,5.518954606,"Milk Produc","Dairy",3
"33",11697918,21466.73998,8264,3415,2.316581274,"Mushrooms","Produce",5
"34",11742360,21400.60983,11708,4497,1.818192514,"Peppers&Hot","Produce",5
"35",12762899,20599.04923,5103,2311,3.342316438,"Other Fruit","Produce",3
"36",11673668,20154.58434,2734,1176,6.248967964,"Horticultur","Floral",3
"37",11696659,20031.7073,3287,1528,5.570529426,"Beef","Meat",3
"38",11662192,19938.80902,2154,946,8.607100153,"Chicken","Meat",3
"39",11741019,19328.9308,2718,1341,7.154017063,"Other Fruit","Produce",3
"40",11746238,19221.99915,4594,1150,3.665836358,"Milk Produc","Dairy",3
"41",11701521,19217.60952,7342,2600,1.653049003,"Other Fruit","Produce",5
"42",11608903,18933.01938,3595,1766,5.136096323,"Peppers&Hot","Produce",3
"43",11746233,18587.46946,4712,1118,3.664237064,"Milk Produc","Dairy",3
"44",11676841,18558.24641,2801,1151,5.418176515,"Water","Grocery",3
"45",11621670,18428.11984,6362,2675,2.575468375,"Cooking Veg","Produce",3
"46",11746232,17374.17924,4329,1206,3.66241592,"Milk Produc","Dairy",3
"47",11745182,16817.76895,2431,751,6.70899347,"Bistro","Home Meal Re",3
"48",13960220,16699.06809,4650,1687,3.435486914,"Bulk Food","Bulk",3
"49",11675063,16672.35832,2868,738,5.509018925,"Milk Produc","Dairy",3
"50",11659745,16593.71976,5043,1629,2.635194439,"Bread Produ","Commercial B",3
"51",11712767,16530.65987,4332,1321,3.671594261,"Milk Produc","Dairy",3
"52",11702769,16476.70843,3002,1321,4.984904196,"Beef","Meat",3
"53",11668067,16428.91967,4678,1616,3.019461563,"Bread Produ","Commercial B",3
"54",11599868,16131.21999,6388,2946,2.493209449,"Salad Items","Produce",3
"55",11612558,16111.68,6518,2954,2.387829696,"Garlic Onio","Produce",3
"56",11743679,16053.58923,3542,1733,4.582374392,"Cooking Veg","Produce",3
"57",11668104,15858.91981,4534,1719,2.965521697,"Bread Produ","Commercial B",3
"58",11697902,15489.77999,8383,3576,1.671770117,"Refrigerate","Produce",5
"59",11832856,15446.01916,3261,1444,4.316541774,"Fin-Fish Fr","Seafood",3
"60",12788250,15199.82995,3424,1539,4.309503461,"Organic Pro","Produce",3
"61",11677203,15077.15869,3178,1282,4.761903457,"Apple And P","Produce",3
"62",11675059,14815.47873,2567,553,5.521354953,"Milk Produc","Dairy",3
"63",15065940,14812.07943,2641,1358,5.274930972,"Dairy Chees","Dairy",3
"64",11696651,14539.36637,1517,907,9.311867788,"Beef","Meat",4
"65",11698026,14409.98977,3411,1481,4.033729417,"Refrigerate","Produce",3
